冷,lěng,adjective,cold
离,lí,preposition,from
里,lǐ,noun,inside
两,liǎng,numeral,two
零,líng,numeral,zero
六,liù,numeral,six
路,lù,noun,road
旅游,lǚ yóu,verb,to travel
吗,ma,auxiliary,question marker
妈妈,mā ma,noun,mother
买,mǎi,verb,to buy
慢,màn,adjective,slow
忙,máng,adjective,busy
猫,māo,noun,cat
没,méi,adverb,not
每,měi,pronoun,every
没关系,méi guān xi,verb,it doesn’t matter
妹妹,mèi mei,noun,younger sister
米饭,mǐ fàn,noun,rice
明天,míng tiān,noun,tomorrow
名字,míng zi,noun,name
那,nà,pronoun,that
哪儿,nǎ’er,pronoun,where
男人,nán rén,noun,man
呢,ne,auxiliary,particle used for suggestion
能,néng,verb,to be able to
你,nǐ,pronoun,you (singular)
你们,nǐ men,pronoun,you (plural)
年,nián,noun,year
您,nín,pronoun,you
牛奶,niú nǎi,noun,milk
女儿,nǚ ‘ ér,noun,daughter
女人,nǚ rén,noun,woman
旁边,páng biān,noun,side
跑步,pǎo bù,verb,to run
朋友,péng you,noun,friend
便宜,pián yi,adjective,cheap
票,piào,noun,ticket
漂亮,piào liang,adjective,beautiful
苹果,píng guǒ,noun,apple
七,qī,numeral,seven
起床,qǐ chuáng,verb,to get up
妻子,qī zi,noun,wife
钱,qián,noun,money
千,qiān,numeral,thousand
前面,qián mian,noun,front
晴,qíng,adjective,sunny
请,qǐng,verb,please
去,qù,verb,to go
去年,qù nián,noun,last year
让,ràng,verb,to let
热,rè,adjective,hot
人,rén,noun,people
认识,rèn shi,verb,to know
日,rì,noun,day
三,sān,numeral,three
上,shàng,noun,above
上班,shàng bān,verb,to go to work
商店,shāng diàn,noun,shop
上午,shàng wǔ,noun,morning
少,shǎo,adjective,few (not much/many)
什么,shén me,pronoun,what
身体,shēn tǐ,noun,"body, health"
生病,shēng bìng,verb,to get sick
生日,shēng rì,noun,birthday
十,shí,numeral,ten
是,shì,verb,to be
时候,shí hou,noun,a point of time
时间,shí jiān,noun,time
事情,shì qing,noun,matter
手表,shǒu biǎo,noun,watch
书,shū,noun,book
谁,shuí,pronoun,who
水,shuǐ,noun,water
水果,shuǐ guǒ,noun,fruit
睡觉,shuìjiào,verb,to sleep
说话,shuō huà,verb,"to say, to speak"
四,sì,numeral,four
送,sòng,verb,"to give, to send"
岁,suì,measure word,"years, age"
所以,suǒ yǐ,conjunction,so
他,tā,pronoun,"he, him"
它,tā,pronoun,it
她,tā,pronoun,"she, her"
他们,tā men,pronoun,"they, them"
她们,tā men,pronoun,"they, them"
太,tài,adverb,too
题,tí,noun,question
踢足球,tī zú qiú,verb,to play football
天气,tiān qì,noun,weather
跳舞,tiào wǔ,verb,to dance
听,tīng,verb,to listen
同学,tóng xué,noun,classmate
外,wài,noun,outside
完,wán,verb,to finish
玩,wán,verb,to play
晚上,wǎn shang,noun,evening
喂,wèi,interjection,hey
为什么,wèi shén me,pronoun,why
问,wèn,verb,to ask
问题,wèn tí,noun,question
我,wǒ,pronoun,"I, me"
我们,wǒ men,pronoun,"we, us"
五,wǔ,numeral,five
洗,xǐ,verb,to wash
西瓜,xī guā,noun,watermelon
喜欢,xǐ huan,verb,to like
希望,xī wàng,verb,to hope
下,xià,noun,below
下午,xià wǔ,noun,afternoon
下雨,xià yǔ,verb,to rain
先生,xiān sheng,noun,mister
现在,xiàn zài,noun,now
向,xiàng,preposition,towards
想,xiǎng,verb,to think
笑,xiào,verb,to smile
小,xiǎo,adjective,"small, little"
小姐,xiǎo jie,noun,miss
小时,xiǎo shí,noun,hour
写,xiě,verb,to write
些,xiē,measure word,a few
谢谢,xiè xie,verb,thanks
新,xīn,adjective,new
姓,xìng,noun,family name
星期,xīng qī,noun,week
休息,xiū xi,verb,to rest
雪,xuě,noun,snow
学生,xué sheng,noun,student
学习,xué xí,verb,to study
学校,xué xiào,noun,school
眼睛,yǎn jing,noun,eye
颜色,yán sè,noun,color
羊肉,yáng ròu,noun,lamb
药,yào,noun,medicine
要,yào,verb,"to want, will"
也,yě,adverb,also
一,yī,numeral,one
衣服,yī fu,noun,clothing
已经,yǐ jing,adverb,already
一起,yī qǐ,adverb,together
医生,yī shēng,noun,doctor
意思,yì si,noun,meaning
医院,yī yuàn,noun,hospital
椅子,yǐ zi,noun,chair
阴,yīn,adjective,cloudy
因为,yīn wèi,conjunction,because
有,yǒu,verb,to have
右边,yòu bian,noun,right side
游泳,yóu yǒng,verb,to swim
鱼,yú,noun,fish
元,yuán,classifier,yuan
远,yuǎn,adjective,far
月,yuè,noun,month
运动,yùn dòng,verb,to work out
再,zài,adverb,again
在,zài,preposition,at
再见,zài jiàn,verb,good-bye
早上,zǎo shang,noun,morning
怎么,zěn me,pronoun,how
怎么样,zěn me yàng,pronoun,how about
长,zhǎng,adjective,long
张,zhāng,classifier,piece
丈夫,zhàng fu,noun,husband
找,zhǎo,verb,to look for
这,zhè,pronoun,this
真,zhēn,adverb,really
正在,zhèng zài,adverb,currently
知道,zhī dào,verb,to know
中国,zhōng guó,noun,China
中午,zhōng wǔ,noun,noon
住,zhù,verb,to live
准备,zhǔn bèi,verb,to prepare
着,zhuó,auxiliary,(continuing tense)
桌子,zhuō zi,noun,table
字,zì,noun,Chinese character
自行车,zì xíng chē,noun,bicycle
走,zǒu,verb,to walk
最,zuì,adverb,most
做,zuò,verb,to do
坐,zuò,verb,to sit
左边,zuǒ bian,noun,left side
昨天,zuó tiān,noun,yesterday
